gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-314533-874024048,314533,6SMITFLD_314533,36.89,-76.611,19,230.0,EI_EIA2PF,VA
generator-314533-1658538225,314533,6SMITFLD_314533,36.884447,-76.691208,2,230.0,EIA_MMWG_FUZZY,VA
generator-314538-8242480647,314538,6SURRY,37.16738,-76.924229,150,230.0,EIA_MMWG_FUZZY,VA
generator-314539-3796697342,314539,3UNCAMP,36.673032,-76.882005,50.2,115.0,EIA_MMWG_FUZZY,VA
generator-314550-5005810233,314550,6HICKORY_314550,36.624113,-76.194266,12,230.0,EI_EIA2PF,VA
generator-314550-519924280,314550,6HICKORY_314550,36.624113,-76.194266,12,230.0,EI_EIA2PF,VA
generator-314572-8542530258,314572,3EMPORIA_314572,36.69,-77.56,2.5,115.0,EI_MMWG,VA
generator-314676-7840118624,314676,3BRUNWICK,37.0,-78.0,300,115.0,EIA_MMWG_FUZZY,VA
generator-314677-9558462536,314677,6BUCKING_314677,37.502944,-78.379237,19.8,230.0,EI_EIA2PF,VA
generator-314684-4548298306,314684,3MT LREL,36.818554,-78.771892,80,115.0,EIA_ONLY,VA
generator-314686-4608189511,314686,6CLOVER,36.816641,-78.69262,77.2,230.0,EIA_MMWG_FUZZY,VA
generator-314694-8609631419,314694,3GRIT_314694,37.05622,-79.3051,3.2,115.0,EIA_MMWG_FUZZY,VA
generator-314707-7310042519,314707,3MORAN_314707,37.229858,-78.271286,3,115.0,EIA_MMWG_FUZZY,VA
generator-314713-4497818795,314713,3PAMPLIN_314713,37.32936,-78.76591,15.7,115.0,EI_EIA2PF,VA
generator-314713-3179752570,314713,3PAMPLIN_314713,37.2259,-78.6877,4,115.0,EIA_MMWG_FUZZY,VA
generator-314713-1024988136,314713,3PAMPLIN_314713,37.27604,-78.61845,3,115.0,EIA_MMWG_FUZZY,VA
generator-314715-3946162261,314715,3MADSONV_314715,37.18378,-78.81415,5,115.0,EIA_MMWG_FUZZY,VA
generator-314719-5120192884,314719,3S CREEK,37.360996,-78.85187,60,115.0,EIA_MMWG_FUZZY,VA
generator-314722-1964101667,314722,3TWITTYS_314722,37.09,-78.59,15.0,115.0,EI_MMWG,VA
generator-314729-8135481902,314729,2GLADYS,37.158473,-79.055643,60,69.0,EIA_MMWG_FUZZY,VA
generator-314729-9395044691,314729,2GLADYS,37.143719,-79.142068,60.4,69.0,EIA_MMWG_FUZZY,VA
generator-314734-3284306075,314734,6CASHSCORNER_314734,37.96724,-78.230963,5,230.0,EIA_MMWG_FUZZY,VA
generator-314749-5501450961,314749,6CHARLVL_314749,37.966,-78.4,13.3,230.0,EIA_MMWG_FUZZY,VA
generator-314766-9510442209,314766,6LOUISA_314766,38.023,-77.972,20,230.0,EI_EIA2PF,VA
generator-314785-7556884936,314785,2DANLTWN_314785,36.841728,-77.910507,3,69.0,EIA_MMWG_FUZZY,VA
generator-314791-8296291613,314791,3BRND DP_314791,38.102168,-78.923431,5,115.0,EIA_MMWG_FUZZY,VA
generator-314798-4835425008,314798,3MERCK5_314798,38.383222,-78.643688,2.1,115.0,EI_EIA2PF,VA
generator-314802-1979001181,314802,3GROTOES,38.314898,-78.744628,50,115.0,EIA_MMWG_FUZZY,VA
generator-314808-6502877963,314808,3NO RVER,38.448519,-78.800731,150,115.0,EIA_MMWG_FUZZY,VA
