gen_name,bus_id,bus_name,lat,lon,capacity_mw,bus_voltage_kv,source,state
generator-220973-7921284213,220973,GRANITE6_220973,39.314718,-76.978872,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-3701620059,220973,GRANITE6_220973,39.311,-76.978,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-4182806524,220973,GRANITE6_220973,39.314718,-76.978872,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-7071067776,220973,GRANITE6_220973,39.311,-76.978,2,230.0,EIA_MMWG_FUZZY,MD
generator-220973-3787314569,220973,GRANITE6_220973,39.349558,-76.858477,2,230.0,EIA_MMWG_FUZZY,MD
generator-220982-6182728379,220982,OTTR PT0,39.516944,-76.273611,30,230.0,EIA_MMWG_FUZZY,MD
generator-221000-2127512955,221000,BAGLEY_221000,39.44752,-76.32095,1.8,230.0,EIA_MMWG_FUZZY,MD
generator-221021-7720986817,221021,DORSY T2_221021,39.157496,-76.787253,1.5,115.0,EIA_MMWG_FUZZY,MD
generator-221080-5023631398,221080,TEXAS509_221080,39.447,-76.63,1.9,115.0,EIA_MMWG_FUZZY,MD
generator-221100-9118718439,221100,GLENARM1_221100,39.4476,-76.516324,1,115.0,EIA_MMWG_FUZZY,MD
generator-221107-7717996458,221107,PERRYMAN_221107,39.4836,-76.2292,1.4,115.0,EIA_MMWG_FUZZY,MD
generator-221107-1605333258,221107,PERRYMAN_221107,39.472128,-76.201342,1.6,115.0,EIA_MMWG_FUZZY,MD
generator-221107-5312012317,221107,PERRYMAN_221107,39.445,-76.217,2,115.0,EIA_MMWG_FUZZY,MD
generator-221107-6824135691,221107,PERRYMAN_221107,39.445,-76.217,2,115.0,EIA_MMWG_FUZZY,MD
generator-221107-2647225065,221107,PERRYMAN_221107,39.436,-76.22,2,115.0,EIA_MMWG_FUZZY,MD
generator-221107-3754570865,221107,PERRYMAN_221107,39.436,-76.22,2,115.0,EIA_MMWG_FUZZY,MD
generator-221107-5032507732,221107,PERRYMAN_221107,39.436,-76.22,2,115.0,EIA_MMWG_FUZZY,MD
generator-221107-7809446549,221107,PERRYMAN_221107,39.436,-76.22,2,115.0,EIA_MMWG_FUZZY,MD
generator-221107-8747028593,221107,PERRYMAN_221107,39.436,-76.22,2,115.0,EIA_MMWG_FUZZY,MD
generator-221107-8845038262,221107,PERRYMAN_221107,39.436,-76.22,2,115.0,EIA_MMWG_FUZZY,MD
generator-221107-5900994722,221107,PERRYMAN_221107,39.436,-76.22,1.4,115.0,EIA_MMWG_FUZZY,MD
generator-221123-6749183228,221123,FULLRTN3_221123,39.3716,-76.4405,1,115.0,EIA_MMWG_FUZZY,MD
generator-221208-8831361226,221208,DEER.P71_221208,39.437285,-76.99937,2.8,115.0,EIA_MMWG_FUZZY,MD
generator-221225-9591683985,221225,HONEY581_221225,39.37614,-76.46813,1.1,115.0,EIA_MMWG_FUZZY,MD
generator-221227-4303324561,221227,BESTGT44_221227,38.992144,-76.573773,12,115.0,EIA_MMWG_FUZZY,MD
generator-221262-7632681646,221262,GENMOTR1_221262,39.42757,-76.393562,1,115.0,EIA_MMWG_FUZZY,MD
generator-221262-5205236286,221262,GENMOTR1_221262,39.41805,-76.39772,2,115.0,EIA_MMWG_FUZZY,MD
generator-221262-6636569662,221262,GENMOTR1_221262,39.4167,-76.403,1.5,115.0,EIA_MMWG_FUZZY,MD
generator-221271-8318989964,221271,H.RDG -3_221271,39.14942,-76.93162,2,34.5,EIA_MMWG_FUZZY,MD
generator-221279-1501645622,221279,P.BRDG-1_221279,38.934666,-76.714819,2,34.5,EIA_MMWG_FUZZY,MD
generator-221287-5557371504,221287,NEWGT871_221287,39.27,-76.548,1.1,34.5,EIA_MMWG_FUZZY,MD
generator-221287-5935209598,221287,NEWGT871_221287,39.267,-76.548,1.4,34.5,EIA_MMWG_FUZZY,MD
generator-221287-5686857175,221287,NEWGT871_221287,39.273278,-76.544434,1.5,34.5,EIA_MMWG_FUZZY,MD
generator-221333-1897226949,221333,HARFRD-8_221333,39.498961,-76.146055,1.7,34.5,EIA_MMWG_FUZZY,MD
generator-221333-2978448722,221333,HARFRD-8_221333,39.493704,-76.146701,2.3,34.5,EIA_MMWG_FUZZY,MD
generator-221380-3381849792,221380,MARR.H-2_221380,38.783572,-76.574153,1.5,34.5,EIA_MMWG_FUZZY,MD
generator-221380-7165340223,221380,MARR.H-2_221380,38.904641,-76.688773,2,34.5,EIA_MMWG_FUZZY,MD
generator-221380-3844330674,221380,MARR.H-2_221380,38.838642,-76.683089,2,34.5,EIA_MMWG_FUZZY,MD
generator-221380-5197478555,221380,MARR.H-2_221380,38.880556,-76.7075,1.6,34.5,EIA_MMWG_FUZZY,MD
generator-221380-1150655483,221380,MARR.H-2_221380,38.904641,-76.688773,1,34.5,EIA_MMWG_FUZZY,MD
generator-221390-2258505399,221390,W.ROCK-3_221390,39.47653,-76.85446,2,34.5,EIA_MMWG_FUZZY,MD
generator-221427-6701215160,221427,RIVA  -4_221427,38.9152,-76.6972,2,34.5,EIA_MMWG_FUZZY,MD
generator-221427-1472493995,221427,RIVA  -4_221427,38.927431,-76.699164,2,34.5,EIA_MMWG_FUZZY,MD
